,Ctyname,Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,geometry,long_lat,NEWNAME,deer_density,deer_row,deer_dist
434,Effingham County,Georgia,13,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0500000US13103,13.0,103.0,Effingham,County,477.7,"POLYGON ((-81.34815499999999 32.569294, -81.32875299999999 32.561228, -81.31825499999999 32.559722, -81.2867760674626 32.5448312304418, -81.275415 32.539457, -81.199029 32.467286, -81.168032 32.368391, -81.14093199999999 32.349393, -81.134332 32.341693, -81.122333 32.305395, -81.120333 32.285796, -81.128034 32.276297, -81.1254574120715 32.2271296902857, -81.195634 32.237499, -81.39169799999999 32.095886, -81.43583 32.241289, -81.542716 32.417446, -81.548006 32.489286, -81.53855799999999 32.509059, -81.3892575570092 32.595384936681, -81.34815499999999 32.569294))","(-81.34127188450229, 32.365780864914726)",Effingham County,50,105,0
435,Elbert County,Georgia,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13105,13.0,105.0,Elbert,County,351.055,"POLYGON ((-82.74149110650319 34.2087086894263, -82.731881 34.178363, -82.717507 34.150504, -82.70414 34.141007, -82.67731999999999 34.131657, -82.66811299999999 34.12016, -82.659077 34.103544, -82.65856099999999 34.10311799999999, -82.65401899999999 34.100346, -82.652175 34.099704, -82.64125199999999 34.088914, -82.64070099999999 34.088341, -82.59707873160839 34.0123901486724, -82.564582 33.95581, -82.5644833747854 33.95574447757269, -82.64545099999999 33.984195, -82.779506 33.971124, -82.976294 34.043219, -83.102074 34.173794, -83.07800399999999 34.223606, -82.98090499999999 34.211505, -82.76607823650659 34.29350898327579, -82.755028 34.276067, -82.74198 34.230196, -82.743461 34.227343, -82.74441499999999 34.224913, -82.74191999999999 34.210063, -82.74149110650319 34.2087086894263))","(-82.83694206931335, 34.115279151474105)",Elbert County,35,18,0
436,Emanuel County,Georgia,13,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0500000US13107,13.0,107.0,Emanuel,County,680.604,"POLYGON ((-82.647733 32.512507, -82.59443899999999 32.579158, -82.465065 32.646833, -82.499431 32.68634, -82.43414899999999 32.762258, -82.316512 32.835772, -82.144977 32.812741, -82.08243999999999 32.663061, -82.00123599999999 32.60691, -82.026842 32.555163, -82.030233 32.53877, -82.148338 32.520429, -82.252757 32.35331, -82.232788 32.318838, -82.354546 32.292194, -82.40911799999999 32.35383, -82.38194 32.440596, -82.488941 32.49183, -82.647733 32.512507))","(-82.30242129432986, 32.59012155613373)",Emanuel County,50,100,0
437,Evans County,Georgia,13,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0500000US13109,13.0,109.0,Evans,County,182.853,"POLYGON ((-81.96906899999999 32.268783, -81.81627999999999 32.23747, -81.78085799999999 32.15289, -81.71865799999999 32.089351, -81.761735 32.0479, -81.980041 32.081502, -82.025339 32.278883, -81.999843 32.276189, -81.96906899999999 32.268783))","(-81.88532672548135, 32.15682379489875)",Evans County,10,868,0
438,Fannin County,Georgia,13,111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0500000US13111,13.0,111.0,Fannin,County,386.723,"POLYGON ((-84.621483 34.988329, -84.50988599999999 34.98801, -84.509052 34.988033, -84.394903 34.98803, -84.393935 34.988068, -84.32186899999999 34.988408, -84.129555 34.987504, -84.1294547944173 34.9875038158892, -84.17867199999999 34.946497, -84.107422 34.886896, -84.093193 34.801411, -84.158035 34.648243, -84.188557 34.602692, -84.189026 34.608109, -84.196754 34.617924, -84.31465299999999 34.807328, -84.42909299999999 34.855036, -84.61863699999999 34.855398, -84.621483 34.988329))","(-84.31707351881526, 34.8660175854703)",Fannin County,1,1207,0
439,Fayette County,Georgia,13,113,0,0,0,1,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0500000US13113,13.0,113.0,Fayette,County,194.342,"POLYGON ((-84.49752699999999 33.257422, -84.62721999999999 33.440078, -84.60954 33.502511, -84.458665 33.550933, -84.381759 33.463414, -84.38811799999999 33.352465, -84.432907 33.2565, -84.49752699999999 33.257422))","(-84.49116454675371, 33.41033094751506)",Fayette County,1,866,0
440,Floyd County,Georgia,13,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0500000US13115,13.0,115.0,Floyd,County,509.911,"POLYGON ((-85.069159 34.587184, -85.086761 34.401264, -85.005775 34.392446, -85.046871 34.096412, -85.25762399999999 34.100668, -85.42173062983569 34.080820543325, -85.455057 34.250689, -85.455371 34.252854, -85.45807099999999 34.265736, -85.458693 34.269437, -85.46230377918801 34.2863653572245, -85.387351 34.286097, -85.334881 34.369748, -85.180548 34.435996, -85.107748 34.587483, -85.069159 34.587184))","(-85.2105167772188, 34.267749701333585)",Floyd County,10,145,0
441,Forsyth County,Georgia,13,117,0,0,1,0,0,0,0,2,0,1,1,1,2,0,1,0,0,0,0500000US13117,13.0,117.0,Forsyth,County,224.021,"POLYGON ((-84.25807499999999 34.335156, -83.957077 34.334011, -83.927284 34.279399, -83.989059 34.195732, -84.06284099999999 34.167873, -84.074624 34.163687, -84.094763 34.131708, -84.101343 34.106305, -84.10261 34.103788, -84.105403 34.102223, -84.10714299999999 34.10003, -84.109894 34.098423, -84.117801 34.065315, -84.097692 34.050654, -84.200373 34.090118, -84.258934 34.109539, -84.258743 34.185909, -84.25807499999999 34.335156))","(-84.12279757248984, 34.22722441755389)",Forsyth County,10,864,0
442,Franklin County,Georgia,13,119,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0500000US13119,13.0,119.0,Franklin,County,261.497,"POLYGON ((-83.35526899999999 34.22373, -83.39391499999999 34.324801, -83.39839599999999 34.460883, -83.17783799999999 34.477017, -83.10687396829239 34.534053226801, -83.087189 34.515939, -83.072746 34.504349, -83.0521613553384 34.4930624621714, -83.09423799999999 34.415901, -83.11336 34.27353, -83.17274499999999 34.238522, -83.29731699999999 34.264587, -83.35526899999999 34.22373))","(-83.23550564694055, 34.372667935463376)",Franklin County,10,861,0
443,Fulton County,Georgia,13,121,0,0,0,1,0,0,2,1,1,6,1,2,1,1,0,0,0,0,0500000US13121,13.0,121.0,Fulton,County,526.635,"POLYGON ((-84.752735 33.63021, -84.630117 33.693116, -84.632131 33.700312, -84.62123199999999 33.704508, -84.60803199999999 33.712908, -84.601732 33.724408, -84.59433199999999 33.729007, -84.586826 33.729114, -84.578132 33.743507, -84.48013399999999 33.817319, -84.442708 33.901543, -84.383027 33.9638, -84.418927 34.073298, -84.32826299999999 34.186144, -84.258743 34.185909, -84.258934 34.109539, -84.200373 34.090118, -84.097692 34.050654, -84.276822 33.9577, -84.34782299999999 33.93801699999999, -84.34792499999999 33.927001, -84.347825 33.918902, -84.34802499999999 33.918302, -84.348225 33.904802, -84.348224 33.8929, -84.34842499999999 33.881902, -84.348125 33.879203, -84.348325 33.867903, -84.348125 33.864903, -84.348525 33.861903, -84.348225 33.859502, -84.34813799999999 33.857692, -84.348325 33.852503, -84.34979899999999 33.664035, -84.350224 33.647908, -84.360224 33.647909, -84.365325 33.647809, -84.45772599999999 33.64887, -84.45851399999999 33.608625, -84.45862699999999 33.586456, -84.458399 33.572743, -84.45863 33.572107, -84.458927 33.565911, -84.458924 33.559759, -84.458579 33.556242, -84.458665 33.550933, -84.60954 33.502511, -84.850713 33.511457, -84.80893399999999 33.574085, -84.805655 33.58642, -84.77559099999999 33.609662, -84.763097 33.614211, -84.752735 33.63021))","(-84.4672651430391, 33.78798863357321)",Fulton County,1,866,0
444,Gilmer County,Georgia,13,123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0500000US13123,13.0,123.0,Gilmer,County,426.54,"POLYGON ((-84.654366 34.548946, -84.654523 34.583187, -84.65709799999999 34.728905, -84.582306 34.825141, -84.61863699999999 34.855398, -84.42909299999999 34.855036, -84.31465299999999 34.807328, -84.196754 34.617924, -84.255112 34.568333, -84.345553 34.562735, -84.654366 34.548946))","(-84.45280623502727, 34.69071343968067)",Gilmer County,1,865,0
445,Glascock County,Georgia,13,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13125,13.0,125.0,Glascock,County,143.74,"POLYGON ((-82.431957 33.27483, -82.661917 33.126331, -82.748311 33.238348, -82.747238 33.247663, -82.75584599999999 33.25344, -82.559753 33.32727, -82.431957 33.27483))","(-82.6065436583999, 33.23894774289141)",Glascock County,1,82,0
446,Glynn County,Georgia,13,127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0500000US13127,13.0,127.0,Glynn,County,419.753,"POLYGON ((-81.4431704342321 31.0166613102744, -81.57269199999999 31.097269, -81.766322 31.169595, -81.73169399999999 31.330048, -81.69198999999999 31.400519, -81.62429 31.452982, -81.435874 31.313263, -81.2699059255329 31.2944889357972, -81.274688 31.289454, -81.27686199999999 31.254734, -81.282842 31.24433, -81.28913609202169 31.225486708076, -81.28840279242149 31.211065104271, -81.293359 31.206332, -81.304957 31.206173, -81.314183 31.207938, -81.339028 31.186918, -81.35487999999999 31.167204, -81.36079099999999 31.155903, -81.35934899999999 31.149166, -81.368241 31.136534, -81.38683 31.133214, -81.399677 31.134113, -81.402096 31.125383, -81.40373199999999 31.107115, -81.40120899999999 31.086143, -81.40126699999999 31.072781, -81.41512299999999 31.026718, -81.420474 31.016703, -81.42473199999999 31.013678, -81.432475 31.012991, -81.43471 31.014641, -81.434923 31.017804, -81.4431704342321 31.0166613102744))","(-81.53861388883077, 31.234503988420908)",Glynn County,50,869,0
447,Gordon County,Georgia,13,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13129,13.0,129.0,Gordon,County,355.808,"POLYGON ((-84.654523 34.583187, -84.654366 34.548946, -84.653232 34.41259, -84.86286299999999 34.396601, -85.005775 34.392446, -85.086761 34.401264, -85.069159 34.587184, -85.06049899999999 34.587184, -85.06037999999999 34.62245, -85.055206 34.622383, -85.05509499999999 34.62239, -85.05044599999999 34.622482, -84.913456 34.634128, -84.863793 34.608597, -84.716498 34.6229, -84.654523 34.583187))","(-84.87140226047438, 34.50833040796825)",Gordon County,10,862,0
448,Grady County,Georgia,13,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13131,13.0,131.0,Grady,County,454.527,"POLYGON ((-84.3807192050426 30.6896729774229, -84.37661199999999 31.078883, -84.11664399999999 31.077971, -84.119058 30.980956, -84.07696399999999 30.91557, -84.08375277135929 30.6759544881848, -84.28121 30.685256, -84.28256217298539 30.6853160197494, -84.3807192050426 30.6896729774229))","(-84.23424682800768, 30.874795269207226)",Grady County,10,859,0
449,Greene County,Georgia,13,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13133,13.0,133.0,Greene,County,387.435,"POLYGON ((-83.16420699999999 33.35503, -83.27993099999999 33.483438, -83.26921299999999 33.533226, -83.406189 33.698307, -83.28034 33.761774, -83.118729 33.698818, -82.99560199999999 33.693583, -82.95114199999999 33.658032, -83.014038 33.580383, -83.01285299999999 33.469178, -83.16420699999999 33.35503))","(-83.16911196831207, 33.58267347209531)",Greene County,35,834,0
450,Gwinnett County,Georgia,13,135,0,0,0,0,0,0,0,0,3,3,1,1,2,2,1,1,0,0,0500000US13135,13.0,135.0,Gwinnett,County,430.383,"POLYGON ((-84.109894 34.098423, -84.10714299999999 34.10003, -84.105403 34.102223, -84.10261 34.103788, -84.101343 34.106305, -84.094763 34.131708, -84.074624 34.163687, -84.06284099999999 34.167873, -83.86802999999999 34.098281, -83.81768199999999 34.127493, -83.86911499999999 34.004316, -83.799104 33.929844, -83.982033 33.786054, -83.984555 33.784332, -84.023713 33.752808, -84.172139 33.857516, -84.179418 33.864403, -84.187005 33.86551499999999, -84.203519 33.873003, -84.20471999999999 33.877003, -84.21662999999999 33.884976, -84.23222 33.902002, -84.25041299999999 33.910812, -84.256022 33.914401, -84.259011 33.91882, -84.265337 33.932576, -84.272216 33.944853, -84.266306 33.947577, -84.27192199999999 33.9559, -84.275722 33.954201, -84.276822 33.9577, -84.097692 34.050654, -84.117801 34.065315, -84.109894 34.098423))","(-84.02208515251823, 33.96231988090233)",Gwinnett County,35,829,0
451,Habersham County,Georgia,13,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13137,13.0,137.0,Habersham,County,276.74,"POLYGON ((-83.352485 34.715993, -83.35139199999999 34.714456, -83.350976 34.713243, -83.351293 34.701703, -83.338194 34.687924, -83.3378670575967 34.6876812903765, -83.45976999999999 34.481142, -83.537538 34.491725, -83.615251 34.431748, -83.66641299999999 34.503598, -83.61554 34.552864, -83.662819 34.659801, -83.623296 34.732194, -83.681596 34.800593, -83.666855 34.806528, -83.657921 34.813682, -83.65219399999999 34.822993, -83.58689699999999 34.819991, -83.54898799999999 34.749451, -83.35242239346078 34.7161114677348, -83.352485 34.715993))","(-83.52888660985452, 34.63053097310669)",Habersham County,1,830,0
452,Hall County,Georgia,13,139,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0500000US13139,13.0,139.0,Hall,County,392.782,"POLYGON ((-84.06284099999999 34.167873, -83.989059 34.195732, -83.927284 34.279399, -83.957077 34.334011, -83.980649 34.418389, -83.84340499999999 34.505494, -83.66641299999999 34.503598, -83.615251 34.431748, -83.669473 34.366689, -83.620115 34.295276, -83.81768199999999 34.127493, -83.86802999999999 34.098281, -84.06284099999999 34.167873))","(-83.81622721026439, 34.31819845705103)",Hall County,10,863,0
453,Hancock County,Georgia,13,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13141,13.0,141.0,Hancock,County,471.841,"POLYGON ((-83.05219699999999 33.080682, -83.10083399999999 33.049849, -83.09750699999999 33.15141, -83.274108 33.187238, -83.253461 33.25929, -83.145774 33.312084, -83.16420699999999 33.35503, -83.01285299999999 33.469178, -82.85195399999999 33.443543, -82.75584599999999 33.25344, -82.747238 33.247663, -82.748311 33.238348, -82.855046 33.196427, -82.88886599999999 33.138603, -83.05219699999999 33.080682))","(-83.00024367234651, 33.274364940054625)",Hancock County,35,828,0
454,Haralson County,Georgia,13,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13143,13.0,143.0,Haralson,County,282.165,"POLYGON ((-85.386692911705 33.901697231185, -85.05031 33.904488, -85.03668399999999 33.90432699999999, -85.037926 33.811942, -85.050889 33.714632, -85.33797446249291 33.6531111377034, -85.360491 33.767958, -85.36184399999999 33.773951, -85.386692911705 33.901697231185))","(-85.20986995084158, 33.79614903810431)",Haralson County,10,155,0
455,Harris County,Georgia,13,145,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0500000US13145,13.0,145.0,Harris,County,463.869,"POLYGON ((-85.13203994599749 32.76421112339359, -85.12342099999999 32.772248, -85.18413099999999 32.870525, -84.861768 32.872495, -84.70053799999999 32.84464, -84.694603 32.583945, -84.907883 32.583433, -84.907703 32.607608, -85.0824541471207 32.60702177685739, -85.10478999999999 32.642542, -85.11473699999999 32.685634, -85.1371361115807 32.74516757778449, -85.1367764204991 32.7465116851151, -85.13203994599749 32.76421112339359))","(-84.91277712707104, 32.73481399788388)",Harris County,10,281,0
456,Hart County,Georgia,13,147,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13147,13.0,147.0,Hart,County,232.394,"POLYGON ((-82.99221543539331 34.4791982077022, -82.979568 34.482702, -82.93906699999999 34.486202, -82.902665 34.485902, -82.882864 34.479003, -82.873831 34.471508, -82.874864 34.468891, -82.84865099999999 34.423844, -82.76607823650659 34.29350898327579, -82.98090499999999 34.211505, -83.07800399999999 34.223606, -83.115646 34.262111, -83.11336 34.27353, -83.09423799999999 34.415901, -83.0521613553384 34.4930624621714, -83.034712 34.483495, -83.00684799999999 34.474376, -82.995284 34.474549, -82.992671 34.479072, -82.99221543539331 34.4791982077022))","(-82.96250072635087, 34.34795589418786)",Hart County,10,70,0
457,Heard County,Georgia,13,149,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0500000US13149,13.0,149.0,Heard,County,296.03,"POLYGON ((-85.2939021634333 33.4280793192012, -85.01535799999999 33.425506, -84.939015 33.224693, -85.2365086541145 33.12956154887789, -85.2939021634333 33.4280793192012))","(-85.12908372928514, 33.297433399164355)",Heard County,35,303,0
458,Henry County,Georgia,13,151,0,0,0,1,0,0,0,0,2,6,2,0,1,1,0,0,0,0,0500000US13151,13.0,151.0,Henry,County,322.127,"POLYGON ((-84.283518 33.502514, -84.281273 33.647411, -84.254149 33.647045, -84.245453 33.63073, -84.22423499999999 33.630657, -84.223952 33.646572, -84.18414299999999 33.646157, -84.181584 33.629174, -84.17213 33.621919, -84.13628899999999 33.57233, -84.044493 33.525776, -83.923913 33.444194, -84.04459399999999 33.333656, -84.044597 33.333495, -84.04266299999999 33.333501, -84.102582 33.298191, -84.150581 33.335639, -84.3544 33.352514, -84.353584 33.436165, -84.283518 33.502514))","(-84.16277333941589, 33.45721657528956)",Henry County,1,866,0
459,Houston County,Georgia,13,153,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0500000US13153,13.0,153.0,Houston,County,375.541,"POLYGON ((-83.84837899999999 32.29097, -83.846676 32.468514, -83.719859 32.53176, -83.70108999999999 32.691598, -83.70115199999999 32.692169, -83.597656 32.664338, -83.566198 32.660786, -83.497923 32.452198, -83.482648 32.424536, -83.49803899999999 32.401715, -83.615579 32.288556, -83.84837899999999 32.29097))","(-83.66717887370275, 32.456860119612394)",Houston County,10,867,0
460,Irwin County,Georgia,13,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13155,13.0,155.0,Irwin,County,354.343,"POLYGON ((-83.50070199999999 31.59399, -83.45363399999999 31.757861, -83.32529599999999 31.756584, -83.32561699999999 31.680603, -83.177218 31.651691, -83.17637599999999 31.678382, -82.99835999999999 31.673164, -83.14558699999999 31.472276, -83.146085 31.472088, -83.338728 31.475991, -83.50070199999999 31.59399))","(-83.27852339710064, 31.60400299000779)",Irwin County,10,860,0
461,Jackson County,Georgia,13,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13157,13.0,157.0,Jackson,County,339.663,"POLYGON ((-83.360028 34.040572, -83.537385 33.965912, -83.563215 34.031757, -83.767532 34.066448, -83.81768199999999 34.127493, -83.620115 34.295276, -83.480361 34.262038, -83.402428 34.197499, -83.360028 34.040572))","(-83.56825444507542, 34.135409813327705)",Jackson County,10,863,0
462,Jasper County,Georgia,13,159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0500000US13159,13.0,159.0,Jasper,County,368.165,"POLYGON ((-83.81604799999999 33.131816, -83.817268 33.14154, -83.81405599999999 33.14846, -83.822929 33.157856, -83.824585 33.17564, -83.822261 33.180238, -83.814103 33.242134, -83.863058 33.368278, -83.824922 33.437263, -83.674644 33.487225, -83.68219599999999 33.52622, -83.586817 33.465577, -83.53373599999999 33.434472, -83.53781099999999 33.393803, -83.54587599999999 33.171944, -83.81604799999999 33.131816))","(-83.68849893866576, 33.31491881248581)",Jasper County,35,834,0
463,Jeff Davis County,Georgia,13,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13161,13.0,161.0,Jeff Davis,County,330.74,"POLYGON ((-82.52141999999999 31.710796, -82.521393 31.672512, -82.627342 31.672672, -82.83663299999999 31.671398, -82.836366 31.816154, -82.64565899999999 31.918883, -82.543655 31.958914, -82.483131 31.968961, -82.479607 31.971653, -82.458152 31.96389, -82.452051 31.96459, -82.444451 31.96749, -82.439351 31.96779, -82.43153099999999 31.966182, -82.43136199999999 31.837993, -82.520251 31.838388, -82.52141999999999 31.710796))","(-82.63524693451429, 31.80492149217673)",Jeff Davis County,10,860,0
464,Jefferson County,Georgia,13,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13163,13.0,163.0,Jefferson,County,526.485,"POLYGON ((-82.43414899999999 32.762258, -82.521052 32.822356, -82.510851 32.917754, -82.550197 33.019247, -82.661917 33.126331, -82.431957 33.27483, -82.38382899999999 33.312106, -82.371972 33.310879, -82.357647 33.312717, -82.353498 33.312318, -82.311539 33.297146, -82.29685499999999 33.277349, -82.286507 33.274135, -82.27853899999999 33.269174, -82.26758 33.267397, -82.23255399999999 33.231211, -82.29118 33.062827, -82.272353 32.937796, -82.316512 32.835772, -82.43414899999999 32.762258))","(-82.41670889888975, 33.05654404990649)",Jefferson County,1,82,0
465,Jenkins County,Georgia,13,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13165,13.0,165.0,Jenkins,County,347.279,"POLYGON ((-81.76755299999999 32.909411, -81.867938 32.68115, -81.841005 32.649093, -82.00123599999999 32.60691, -82.08243999999999 32.663061, -82.144977 32.812741, -82.08133099999999 32.916782, -81.85797599999999 32.953882, -81.76755299999999 32.909411))","(-81.96174642110637, 32.792736060205755)",Jenkins County,50,100,0
466,Johnson County,Georgia,13,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13167,13.0,167.0,Johnson,County,303.01,"POLYGON ((-82.946966 32.759358, -82.80245599999999 32.809756, -82.768365 32.769108, -82.521052 32.822356, -82.43414899999999 32.762258, -82.499431 32.68634, -82.465065 32.646833, -82.59443899999999 32.579158, -82.647733 32.512507, -82.66855699999999 32.612164, -82.862763 32.71576, -82.957066 32.708318, -82.946366 32.741258, -82.946966 32.759358))","(-82.65895953577981, 32.708564206206866)",Johnson County,35,828,0
467,Jones County,Georgia,13,169,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0500000US13169,13.0,169.0,Jones,County,393.933,"POLYGON ((-83.35768499999999 32.926141, -83.40682 32.898446, -83.40698999999999 32.89822, -83.407668 32.897822, -83.51351099999999 32.844868, -83.65821099999999 32.887913, -83.710685 32.952792, -83.74700399999999 33.063373, -83.81604799999999 33.131816, -83.54587599999999 33.171944, -83.42909 33.185352, -83.414997 33.112833, -83.38038299999999 32.99807699999999, -83.35768499999999 32.926141))","(-83.56040570792818, 33.02338690787024)",Jones County,35,828,0
468,Lamar County,Georgia,13,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13171,13.0,171.0,Lamar,County,183.5,"POLYGON ((-84.27014 32.991011, -84.24818499999999 33.189019, -84.123767 33.202824, -84.04149799999999 33.202629, -84.044113 32.947874, -84.12334 32.932184, -84.122361 32.989576, -84.27014 32.991011))","(-84.14434076241515, 33.082488910987074)",Lamar County,35,834,0
469,Lanier County,Georgia,13,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13173,13.0,173.0,Lanier,County,185.261,"POLYGON ((-83.019419 30.849453, -83.042924 30.947296, -83.17946499999999 30.950128, -83.197971 31.025405, -83.165072 31.147198, -83.038246 31.146705, -83.046885 31.18368, -82.97124699999999 31.183988, -82.97133599999999 30.869392, -82.98215499999999 30.872249, -82.993866 30.860786, -83.00657699999999 30.85947, -83.01396199999999 30.844709, -83.019419 30.849453))","(-83.06616850325705, 31.037657927188754)",Lanier County,10,797,0
470,Laurens County,Georgia,13,175,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0500000US13175,13.0,175.0,Laurens,County,807.296,"POLYGON ((-83.226536 32.584201, -82.95756999999999 32.708198, -82.957066 32.708318, -82.862763 32.71576, -82.66855699999999 32.612164, -82.647733 32.512507, -82.73713699999999 32.33803, -82.721964 32.309283, -82.88480299999999 32.196072, -82.990967 32.147274, -83.13899099999999 32.423069, -83.226536 32.584201))","(-82.92068148356726, 32.46563437681084)",Laurens County,10,867,0
471,Lee County,Georgia,13,177,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0500000US13177,13.0,177.0,Lee,County,355.784,"POLYGON ((-83.922494 31.909653, -83.92510299999999 31.905668, -83.92738299999999 31.904142, -83.93202099999999 31.898759, -83.932301 31.893801, -83.92868899999999 31.886864, -83.932091 31.884632, -83.934061 31.88139, -83.931152 31.876984, -83.92869399999999 31.871849, -83.926524 31.863292, -83.932321 31.859235, -83.936736 31.858043, -83.93780000000001 31.854805, -83.938192 31.849489, -83.939437 31.847929, -84.03234399999999 31.716772, -84.01840399999999 31.650274, -84.04321299999999 31.623573, -84.29780099999999 31.621951, -84.286456 31.791182, -84.338245 31.873591, -84.338143 31.91619, -83.922494 31.909653))","(-84.1446391078393, 31.781537272586924)",Lee County,1,832,0
472,Liberty County,Georgia,13,179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0500000US13179,13.0,179.0,Liberty,County,489.801,"POLYGON ((-81.1943802746182 31.5681005790598, -81.26186799999999 31.650142, -81.43576 31.642055, -81.491798 31.699575, -81.641761 31.765451, -81.76535699999999 31.87454, -81.75025699999999 31.973207, -81.824405 32.014882, -81.80993099999999 32.019657, -81.761735 32.0479, -81.71865799999999 32.089351, -81.60443099999999 32.010948, -81.593429 31.97135, -81.47576099999999 31.974255, -81.407737 31.944302, -81.35583699999999 31.8149, -81.19839418503101 31.7260700164189, -81.20357199999999 31.719448, -81.186303 31.701509, -81.161084 31.691401, -81.154624 31.693874, -81.151888 31.698411, -81.14936899999999 31.699304, -81.139394 31.699917, -81.131137 31.695774, -81.13560799999999 31.683491, -81.136408 31.674832, -81.131728 31.654484, -81.133493 31.623348, -81.14997 31.593476, -81.160364 31.570436, -81.173079 31.555908, -81.178822 31.55553, -81.183252 31.560058, -81.18611399999999 31.568032, -81.1943802746182 31.5681005790598))","(-81.49136066284532, 31.824018359595637)",Liberty County,10,868,0
473,Lincoln County,Georgia,13,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13181,13.0,181.0,Lincoln,County,210.38,"POLYGON ((-82.42532799999999 33.650629, -82.430915 33.655076, -82.435952 33.652046, -82.45169199999999 33.649591, -82.458237 33.637471, -82.46987999999999 33.638617, -82.476969 33.644281, -82.479518 33.639535, -82.59352699999999 33.827322, -82.64545099999999 33.984195, -82.5644833747854 33.95574447757269, -82.429164 33.865844, -82.422803 33.863754, -82.408354 33.86632, -82.403881 33.865477, -82.32447999999999 33.820033, -82.301457 33.801864, -82.247472 33.752591, -82.218649 33.686299, -82.30641399999999 33.700644, -82.42532799999999 33.650629))","(-82.44895248345904, 33.79175500578919)",Lincoln County,35,28,0
474,Long County,Georgia,13,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US13183,13.0,183.0,Long,County,400.293,"POLYGON ((-81.491798 31.699575, -81.56600899999999 31.576467, -81.663206 31.538667, -81.850624 31.667671, -81.96905199999999 31.789324, -81.824405 32.014882, -81.75025699999999 31.973207, -81.76535699999999 31.87454, -81.641761 31.765451, -81.491798 31.699575))","(-81.74648085382766, 31.748058947086616)",Long County,10,868,0
